type,x,y,orientation,cooldown,range,minAng,maxAng
0,1800,700,3,50,550,-3.7,0.7
0,950,200,1,50,550,-0.6,3.8
0,5600,1000,3,50,550,-3.3,0.2
0,5900,100,1,50,550,-0.7,3.9
0,6200,1000,3,50,550,-3.4,0.3
0,6500,100,1,50,550,-0.7,3.9
0,6800,1000,3,50,550,-3.4,0.2
0,8300,700,3,15,800,-4.1,1
0,3200,200,1,50,550,0.4,2.9
0,3600,900,0,50,550,-2.2,2.1
0,4750,650,2,50,650,0.8,4.9
0,9950,200,1,50,550,0.7,2.4
0,10250,900,3,50,550,-3.5,0.4
0,10550,200,1,50,550,0.6,2.5
0,10850,900,3,50,550,-3.3,0.2
0,11150,200,1,50,550,0.5,2.6
0,11450,925,3,50,550,-3.3,0.3
0,13650,750,0,50,550,-1.4,1.3
0,14050,350,2,50,550,1.8,4.4
0,14550,750,2,50,550,1.8,4.5
0,14150,350,0,50,550,-1.3,1.4
0,14650,750,0,50,550,-1.4,1.2
0,15050,350,2,50,550,1.8,4.4
0,15150,350,0,50,550,-1.3,1.3
0,15550,750,2,50,550,1.8,4.5
0,16050,350,2,50,550,1.8,4.4
0,15650,750,0,50,550,-1.4,1.3
0,16550,750,2,50,550,1.8,4.5
0,16150,350,0,50,550,-1.4,1.3
0,18050,400,1,24,1000,-0.7,3.9
0,18950,900,3,24,1000,-3.9,0.8
10,20950,750,3,40,650,-3.6,0.5
0,22450,800,3,30,550,-3.7,0.6
0,23150,800,3,30,550,-3.9,0.7
0,23850,800,3,30,550,-3.8,0.7
0,24550,800,3,30,550,-3.9,0.9
0,25250,800,3,18,550,-3.9,0.7
10,29600,600,2,40,3400,1.6,4.7
0,26650,400,1,60,550,-0.7,3.8
0,27150,850,3,60,600,-3.6,0.6
0,27700,300,1,60,650,-0.7,3.9
0,28300,950,3,60,700,-3.8,0.7
0,28925,200,1,60,750,-0.6,3.9
0,12650,925,3,50,550,-3.4,0.2
0,12050,900,3,50,550,-3.6,0.4
0,11750,200,1,50,550,0.6,2.5
0,12350,200,1,50,550,0.7,2.5
