type,x,y,w,h
0,200,500,39400,1600
0,0,800,2100,100
0,475,75,100,100
0,1100,0,100,100
0,875,600,50,50
0,775,650,225,50
0,675,700,425,50
0,0,750,1175,50
0,650,0,100,100
0,850,150,125,50
0,1225,350,150,50
4,1500,650,300,50
3,1500,350,300,300
0,150,200,225,50
0,300,375,250,50
0,1300,75,75,75
0,2525,600,50,50
0,2450,650,200,50
0,2350,700,375,50
0,2250,750,575,50
0,2200,75,75,50
0,2550,25,75,75
0,3000,0,100,150
0,2375,0,75,75
0,2000,250,100,50
0,1725,275,100,50
0,1950,100,100,50
0,1900,700,150,100
4,6150,575,300,50
3,6150,275,300,300
0,3100,0,50,400
0,2750,100,75,75
0,2900,700,400,100
0,3250,475,50,50
0,3375,350,75,50
0,1500,0,150,200
0,2100,800,1000,100
0,3100,800,8400,100
4,0,700,400,50
0,0,300,50,50
0,1650,0,200,75
0,3150,0,8550,100
0,4550,400,50,400
0,4325,550,225,250
0,3425,100,75,75
0,3525,575,125,50
0,3800,400,75,25
0,4225,100,75,50
0,4150,650,175,150
0,3975,550,100,50
0,3975,750,175,50
0,4175,275,50,25
0,3625,650,25,125
0,4675,125,50,50
0,4475,475,75,75
0,4475,150,50,50
0,4600,550,25,250
0,4625,675,225,125
0,4775,475,125,25
0,5000,250,100,25
0,5900,350,100,450
0,5275,300,50,50
0,5475,550,150,25
0,5000,550,125,25
0,5600,275,50,50
0,5800,100,50,50
0,5775,525,125,25
0,5700,675,25,125
0,5825,675,75,125
0,5725,750,100,50
0,10850,725,350,75
4,11200,675,300,50
3,11200,375,300,300
0,7075,250,150,100
0,8075,250,150,100
0,9075,250,150,100
0,10075,250,150,100
0,8000,250,75,125
0,8225,250,75,125
0,9000,250,75,125
0,9225,250,75,125
0,10000,250,75,125
0,10225,250,75,125
0,7225,250,75,125
0,7000,250,75,125
0,6550,475,200,325
0,8550,475,200,325
0,9550,475,200,325
0,10550,475,200,325
0,11600,725,100,275
0,11700,600,100,400
0,12400,700,100,300
0,12500,800,100,200
0,12600,900,100,100
0,11800,500,100,500
0,12100,450,100,550
0,12200,500,100,500
0,12300,600,100,400
0,12900,0,100,550
0,12800,0,100,500
0,12700,0,100,400
0,12600,0,100,300
0,12500,0,100,200
0,12400,0,100,100
0,13000,0,100,500
0,13100,0,100,400
0,13200,0,100,300
0,13300,0,100,200
0,13400,0,100,100
0,13200,900,100,100
0,13300,800,100,200
0,13400,700,100,300
0,13500,600,100,400
0,13600,500,100,500
0,13800,400,100,600
0,14000,500,100,500
0,14100,600,100,400
0,14200,700,100,300
0,14300,800,100,200
0,14400,900,100,100
0,13900,450,100,550
0,13700,450,100,550
0,12700,950,100,50
0,13100,950,100,50
0,13500,0,100,50
0,12300,0,100,50
0,11700,0,100,50
0,14500,950,100,50
0,12000,400,100,600
0,11900,450,100,550
0,11500,725,100,275
0,11500,100,100,100
0,11400,100,100,175
0,11300,100,100,200
0,14100,0,100,50
0,14200,0,100,100
0,14300,0,100,200
0,14400,0,100,300
0,14500,0,100,400
0,14600,0,100,500
0,14700,0,100,550
0,14900,950,100,50
0,15000,900,100,100
0,14800,0,100,500
0,14900,0,100,400
0,15000,0,100,300
0,15100,0,100,200
0,15200,0,100,100
0,15300,0,100,50
0,15100,800,100,200
0,15200,700,100,300
0,15300,600,100,400
0,15400,500,100,500
0,15500,450,100,550
0,15600,400,100,600
0,15700,450,100,550
0,15800,500,100,500
0,15900,600,100,400
0,16000,700,100,300
0,16100,800,100,200
0,16200,900,100,100
0,16300,950,100,50
0,16700,950,100,50
0,15900,0,100,50
0,16000,0,100,100
0,16100,0,100,200
0,16200,0,100,300
0,16300,0,100,400
0,16400,0,100,500
0,16500,0,100,550
0,16600,0,100,500
0,16700,0,100,400
0,16800,0,100,300
0,16900,0,100,200
0,17000,0,100,100
0,17100,0,100,50
0,16800,900,100,100
0,16900,800,100,200
0,17000,700,100,300
0,17100,600,100,400
0,17200,500,100,500
0,17300,450,100,550
0,17400,400,100,600
0,17500,450,100,550
0,17700,0,100,50
0,11800,0,125,25
0,12175,0,125,25
0,13600,0,125,25
0,13975,0,125,25
0,15400,0,125,25
0,15775,0,125,25
0,17200,0,125,25
0,17575,0,125,25
0,17600,500,100,500
0,17700,600,100,400
0,17800,650,500,350
0,17800,0,100,100
0,17900,0,100,200
4,18000,600,300,50
3,18000,300,300,300
0,18000,0,100,250
0,18100,0,400,250
0,19225,825,50,175
0,19275,875,50,125
0,19175,875,50,125
0,19100,950,75,50
0,19325,950,0,50
0,18500,0,50,800
0,18550,0,250,200
0,18800,0,150,125
0,18550,200,150,150
0,19325,950,75,50
0,21950,725,300,275
0,18950,0,175,50
0,19675,0,125,225
0,19550,0,125,125
0,19725,225,25,25
0,19400,0,150,50
0,18700,400,75,75
0,18850,250,75,75
0,19050,125,75,75
0,19275,100,75,75
0,19475,150,75,75
0,19600,275,75,75
0,19700,675,75,25
0,18575,600,75,75
0,19250,425,25,25
4,21950,675,300,50
3,21950,400,300,275
0,21750,0,550,200
0,20200,825,50,175
0,20150,875,50,125
0,20250,875,50,125
0,20300,950,75,50
0,20075,950,75,50
0,19800,0,125,125
0,19925,0,150,50
0,21175,825,50,175
0,21125,875,50,125
0,21225,875,50,125
0,21275,950,75,50
0,21050,950,75,50
0,20700,450,25,25
0,20675,675,75,25
0,20650,0,125,225
0,20525,0,125,125
0,20775,0,125,125
0,20375,0,150,50
0,20900,0,150,50
0,19800,325,75,75
0,19975,150,75,75
0,20200,100,75,75
0,20425,175,75,75
0,20575,325,75,75
0,20775,400,75,75
0,20875,225,75,75
0,21025,100,75,75
0,21225,75,75,75
0,21350,0,150,50
0,21500,0,125,125
0,21625,0,125,225
0,21675,525,25,25
0,21650,675,75,25
0,21400,175,75,75
0,21525,325,75,75
0,20200,650,25,25
0,21200,650,25,25
0,21800,400,75,75
0,21950,200,275,200
0,19725,525,25,25
0,19725,450,25,25
0,19725,375,25,25
0,19725,300,25,25
0,19250,500,25,25
0,19250,575,25,25
0,19250,650,25,25
0,20200,575,25,25
0,20200,500,25,25
0,20200,425,25,25
0,20200,350,25,25
0,19250,350,25,25
0,20700,525,25,25
0,20700,375,25,25
0,20700,300,25,25
0,20700,225,25,25
0,21675,450,25,25
0,21675,375,25,25
0,21675,300,25,25
0,21675,225,25,25
0,21200,575,25,25
0,21200,500,25,25
0,21200,425,25,25
0,21200,350,25,25
0,19725,600,25,25
0,20700,600,25,25
0,21675,600,25,25
0,1500,700,300,100
0,11200,725,300,75
0,6000,625,550,175
0,22250,900,1475,700
0,22300,0,175,150
0,22475,0,150,100
0,23700,0,100,200
0,23550,0,150,150
0,23725,200,75,500
0,22400,675,150,50
0,23050,725,50,175
0,22975,775,75,125
0,23100,775,75,125
0,22875,825,100,75
0,23175,825,100,75
0,23275,875,100,25
0,22775,875,100,25
0,22250,825,75,75
0,23400,125,150,50
0,22350,375,75,75
0,22575,300,125,50
0,22825,125,100,50
0,22500,125,150,50
0,23500,350,50,50
0,22950,0,200,100
0,22875,0,75,50
0,22625,0,75,50
0,22700,0,175,25
0,23150,0,400,25
0,23100,125,100,75
0,22975,100,75,75
0,21750,200,200,150
0,23800,0,550,450
4,24050,800,300,50
3,24050,500,300,300
0,23725,850,625,750
0,22300,150,75,50
0,22225,200,50,75
0,23875,575,75,75
0,7550,475,200,325
